time inst	proc1		proc2		proc3		proc4		proc5		proc6		proc7		proc8		proc9		proc10		proc11		proc12		proc13		proc14		proc15		proc16		proc17		proc18		proc19		proc20
1       	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
2       	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
3       	RUN     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
4       	RUN     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
5       	RUN     	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
6       	RUN     	NEW     	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
7       	RUN     	READY   	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
8       	RUN     	READY   	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
9       	READY   	RUN     	READY   	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
10      	READY   	BLOCKED 	RUN     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
11      	READY   	BLOCKED 	RUN     	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
12      	READY   	BLOCKED 	RUN     	NEW     	NEW     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
25      	RUN     	READY   	READY   	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
26      	RUN     	READY   	READY   	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
27      	READY   	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
28      	READY   	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
29      	READY   	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
30      	READY   	READY   	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
31      	READY   	READY   	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
32      	READY   	READY   	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
33      	READY   	RUN     	READY   	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
34      	RUN     	BLOCKED 	READY   	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
35      	BLOCKED 	BLOCKED 	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
36      	BLOCKED 	BLOCKED 	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
37      	BLOCKED 	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
38      	BLOCKED 	READY   	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
39      	BLOCKED 	READY   	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
40      	BLOCKED 	READY   	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
41      	BLOCKED 	RUN     	READY   	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
42      	BLOCKED 	BLOCKED 	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
43      	BLOCKED 	BLOCKED 	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
44      	BLOCKED 	BLOCKED 	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
45      	BLOCKED 	READY   	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
46      	BLOCKED 	READY   	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
47      	BLOCKED 	READY   	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
48      	BLOCKED 	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
49      	BLOCKED 	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
50      	BLOCKED 	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
51      	BLOCKED 	RUN     	READY   	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
52      	BLOCKED 	BLOCKED 	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
53      	BLOCKED 	BLOCKED 	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
54      	BLOCKED 	BLOCKED 	READY   	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
55      	READY   	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
56      	READY   	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
57      	READY   	READY   	RUN     	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
58      	READY   	READY   	        	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
59      	READY   	READY   	        	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
60      	READY   	READY   	        	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
61      	RUN     	READY   	        	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
62      	BLOCKED 	RUN     	        	READY   	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
63      	BLOCKED 	BLOCKED 	        	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
64      	BLOCKED 	BLOCKED 	        	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
65      	BLOCKED 	BLOCKED 	        	RUN     	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
66      	BLOCKED 	RUN     	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
67      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
68      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
69      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
70      	BLOCKED 	RUN     	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
71      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
72      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
73      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
74      	BLOCKED 	READY   	        	        	RUN     	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
75      	BLOCKED 	RUN     	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
76      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
77      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
78      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
79      	BLOCKED 	RUN     	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
80      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
81      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
82      	RUN     	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
83      	BLOCKED 	RUN     	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
84      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
85      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
86      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
87      	BLOCKED 	RUN     	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
88      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
89      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
90      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
91      	BLOCKED 	RUN     	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
92      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
93      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
94      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
95      	BLOCKED 	RUN     	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
96      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
97      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
98      	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
99      	BLOCKED 	RUN     	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
100     	BLOCKED 	BLOCKED 	        	        	BLOCKED 	        	        	        	        	        	        	        	        	        	        	        	        	        	        	        
